"","var.WHO","division","month","monthly_VOC_cases","total_monthly_VOC_cases","prop","date.smooth"
"169","Other","Nova Scotia","2021-02",35.7837582030392,62827.4159772721,0.000569556421292004,2021-02-01
"170","Other","Nova Scotia","2021-03",59.7160506666536,41811.7778322457,0.00142821123048731,2021-03-01
"171","Other","Nova Scotia","2021-04",11.4130959290646,51899.5389777261,0.000219907462645531,2021-04-01
"172","Other","Nova Scotia","2021-05",20.0919299239056,27236.3866765161,0.000737687056750056,2021-05-01
"173","Other","Nova Scotia","2021-06",4.62038201006951,1780.64737097533,0.00259477653205348,2021-06-01
"174","Other","Nova Scotia","2021-07",0,156.881849578516,0,2021-07-01
"175","Other","Nova Scotia","2021-08",0,30.7351219611944,0,2021-08-01
"176","Other","Nova Scotia","2021-09",0,13.1528509669602,0,2021-09-01
"177","Other","Nova Scotia","2021-10",0,4.9158244540787,0,2021-10-01
"178","Other","Nova Scotia","2021-11",0,423.320515444844,0,2021-11-01
"179","Other","Nova Scotia","2021-12",0,8.94439690092692,0,2021-12-01
"180","Other","Nova Scotia","2022-01",0,0,0,2022-01-01
"181","Other","Nova Scotia","2022-02",0,0,0,2022-02-01
"182","Other","Nova Scotia","2022-03",0,0,0,2022-03-01
"183","Other","New Brunswick","2020-02",0,6.43,0,2020-02-01
"184","Other","New Brunswick","2020-03",51.29,5631.2,0.00910818298053701,2020-03-01
"185","Other","New Brunswick","2020-04",66.73,42786.96,0.00155958731351795,2020-04-01
"186","Other","New Brunswick","2020-05",7.86,39920.69,0.000196890384409688,2020-05-01
"187","Other","New Brunswick","2020-06",39.13,14731.13,0.00265627959294365,2020-06-01
"188","Other","New Brunswick","2020-07",5.02,11775.5,0.000426308861619464,2020-07-01
"189","Other","New Brunswick","2020-08",20.59,12348.16,0.00166745490826164,2020-08-01
"190","Other","New Brunswick","2020-09",9.28,26312.81,0.000352679930421722,2020-09-01
"191","Other","New Brunswick","2020-10",136.69,72183.99,0.00189363320038141,2020-10-01
"192","Other","New Brunswick","2020-11",138,133440.550062666,0.00103416839885022,2020-11-01
"193","Other","New Brunswick","2020-12",118.69,196177.974267541,0.000605011854379403,2020-12-01
"194","Other","New Brunswick","2021-01",574.92412613127,189060.303048654,0.00304095633435705,2021-01-01
"195","Other","New Brunswick","2021-02",206.492487012987,62827.4159772721,0.00328666210126621,2021-02-01
"196","Other","New Brunswick","2021-03",29.2034289594429,41811.7778322457,0.0006984498261856,2021-03-01
"197","Other","New Brunswick","2021-04",7.70678372603978,51899.5389777261,0.000148494261757264,2021-04-01
"198","Other","New Brunswick","2021-05",0,27236.3866765161,0,2021-05-01
"199","Other","New Brunswick","2021-06",0,1780.64737097533,0,2021-06-01
"200","Other","New Brunswick","2021-07",0,156.881849578516,0,2021-07-01
"201","Other","New Brunswick","2021-08",0,30.7351219611944,0,2021-08-01
"202","Other","New Brunswick","2021-09",0,13.1528509669602,0,2021-09-01
"203","Other","New Brunswick","2021-10",0,4.9158244540787,0,2021-10-01
"204","Other","New Brunswick","2021-11",0,423.320515444844,0,2021-11-01
"205","Other","New Brunswick","2021-12",0,8.94439690092692,0,2021-12-01
"206","Other","New Brunswick","2022-01",0,0,0,2022-01-01
"207","Other","New Brunswick","2022-02",0,0,0,2022-02-01
"208","Other","New Brunswick","2022-03",0,0,0,2022-03-01
"209","Other","Newfoundland and Labrador","2020-02",0,6.43,0,2020-02-01
"210","Other","Newfoundland and Labrador","2020-03",115.14,5631.2,0.020446796419946,2020-03-01
"211","Other","Newfoundland and Labrador","2020-04",142.43,42786.96,0.00332881793892345,2020-04-01
"212","Other","Newfoundland and Labrador","2020-05",2.97,39920.69,7.43975116662563e-05,2020-05-01
"213","Other","Newfoundland and Labrador","2020-06",0.42,14731.13,2.85110510870517e-05,2020-06-01
"214","Other","Newfoundland and Labrador","2020-07",4.85,11775.5,0.000411872107341514,2020-07-01
"215","Other","Newfoundland and Labrador","2020-08",2.7,12348.16,0.000218656058878408,2020-08-01
"216","Other","Newfoundland and Labrador","2020-09",4.08,26312.81,0.000155057555616447,2020-09-01
"217","Other","Newfoundland and Labrador","2020-10",18.14,72183.99,0.000251302262454597,2020-10-01
"218","Other","Newfoundland and Labrador","2020-11",39.57,133440.550062666,0.000296536547409443,2020-11-01
"219","Other","Newfoundland and Labrador","2020-12",57.3,196177.974267541,0.000292081719234475,2020-12-01
"220","Other","Newfoundland and Labrador","2021-01",15.78,189060.303048654,8.34654326981537e-05,2021-01-01
"221","Other","Newfoundland and Labrador","2021-02",27.3888314342471,62827.4159772721,0.000435937576107778,2021-02-01
"222","Other","Newfoundland and Labrador","2021-03",6.39058261346497,41811.7778322457,0.000152841685878673,2021-03-01
"223","Other","Newfoundland and Labrador","2021-04",1.74359951159951,51899.5389777261,3.35956647389068e-05,2021-04-01
"224","Other","Newfoundland and Labrador","2021-05",1.70034504521244,27236.3866765161,6.24291711454705e-05,2021-05-01
"225","Other","Newfoundland and Labrador","2021-06",0,1780.64737097533,0,2021-06-01
"226","Other","Newfoundland and Labrador","2021-07",0,156.881849578516,0,2021-07-01
"227","Other","Newfoundland and Labrador","2021-08",0,30.7351219611944,0,2021-08-01
"228","Other","Newfoundland and Labrador","2021-09",0,13.1528509669602,0,2021-09-01
"229","Other","Newfoundland and Labrador","2021-10",0,4.9158244540787,0,2021-10-01
"230","Other","Newfoundland and Labrador","2021-11",0,423.320515444844,0,2021-11-01
"231","Other","Newfoundland and Labrador","2021-12",0,8.94439690092692,0,2021-12-01
"232","Other","Newfoundland and Labrador","2022-01",0,0,0,2022-01-01
