"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"21","2021-09",202130.049884518,5914,44,"Other",0.000217681636278912,25000,942485,109416311.154476,0.00184734842320855,0.00176,0.0062749009268052
"22","2021-10",113147.782864061,4659,24,"Other",0.000212111977738303,25000,942485,109416311.154476,0.00103410343183949,0.00096,0.00494331474771482
"23","2021-11",115772.485001197,4096,25,"Other",0.000215940773835351,25000,942485,109416311.154476,0.00105809164812499,0.001,0.00434595776060096
"24","2021-12",166685.887262028,4378,36,"Other",0.000215975092980778,25000,942485,109416311.154476,0.00152340986004086,0.00144,0.00464516676657984
"25","2022-01",358563.581524874,1968,78,"Other",0.000217534641048282,25000,942485,109416311.154476,0.00327705785126174,0.00312,0.00208809689278874
"26","2022-02",68501.7327297198,275,14,"Other",0.000204374392327247,25000,942485,109416311.154476,0.000626065090359403,0.00056,0.000291781832071598
"27","2022-03",16322.5318499704,665,3,"Other",0.000183795015845256,25000,942485,109416311.154476,0.000149178231999851,0.00012,0.000705581521191319
"28","2020-10",6845.12409245376,90,90,"Alpha",0.0131480450587037,25000,1065884,31443877.3391857,0.000217693384903372,0.0036,8.44369556161834e-05
"29","2020-11",58527.8371383245,2318,501,"Alpha",0.00856002928684923,25000,1065884,31443877.3391857,0.00186134287788314,0.02004,0.00217472070131459
"30","2020-12",656634.49553436,19048,511,"Alpha",0.000778210714598774,25000,1065884,31443877.3391857,0.0208827457393766,0.02044,0.0178706125619673
"31","2021-01",3077803.49703747,74342,2395,"Alpha",0.000778152342183411,25000,1065884,31443877.3391857,0.0978824419087107,0.0958,0.0697468017157589
"32","2021-02",3316598.26156898,120580,2581,"Alpha",0.000778207005022975,25000,1065884,31443877.3391857,0.105476758664104,0.10324,0.113126756757771
"33","2021-03",6808573.48489982,257583,5297,"Alpha",0.000777989693692487,25000,1065884,31443877.3391857,0.216530977126504,0.21188,0.241661381538704
"34","2021-04",9461666.94141622,281811,7361,"Alpha",0.000777981305575126,25000,1065884,31443877.3391857,0.300906495701947,0.29444,0.264391809990581
"35","2021-05",5031507.79962834,206806,3915,"Alpha",0.000778096776534698,25000,1065884,31443877.3391857,0.160015501439386,0.1566,0.194022989368449
"36","2021-06",1768529.80449769,71076,1376,"Alpha",0.0007780473908331,25000,1065884,31443877.3391857,0.0562440116853442,0.05504,0.0666826784152872
"37","2021-07",860951.260221798,25199,669,"Alpha",0.00077704747168574,25000,1065884,31443877.3391857,0.0273805692260754,0.02676,0.0236414093841356
"38","2021-08",314083.323691478,6275,244,"Alpha",0.000776863913474373,25000,1065884,31443877.3391857,0.00998869574205036,0.00976,0.00588713218323945
"39","2021-09",55171.0755994565,495,42,"Alpha",0.000761268464383786,25000,1065884,31443877.3391857,0.0017545888188128,0.00168,0.000464403255889009
"40","2021-10",18100.4288908875,168,14,"Alpha",0.000773462335306771,25000,1065884,31443877.3391857,0.000575642395994547,0.00056,0.000157615650483542
"41","2021-11",2743.57294555501,39,2,"Alpha",0.000728976425883005,25000,1065884,31443877.3391857,8.72530100521649e-05,8e-05,3.65893474336795e-05
"42","2021-12",2468.71303158229,32,1,"Alpha",0.000405069356870151,25000,1065884,31443877.3391857,7.8511724395571e-05,4e-05,3.00220286635319e-05
"43","2022-01",2302.49882561734,12,1,"Alpha",0.000434310753549193,25000,1065884,31443877.3391857,7.32256649134024e-05,4e-05,1.12582607488244e-05
"44","2022-02",465.259780012061,7,0,"Alpha",0,25000,1065884,31443877.3391857,1.47965142782264e-05,0,6.5673187701476e-06
"45","2022-03",903.960385665468,3,0,"Alpha",0,25000,1065884,31443877.3391857,2.87483752691957e-05,0,2.81456518720611e-06
"46","2021-01",630497.235863519,2958,2958,"Beta",0.00469153523876876,25000,33728,3951831.58547195,0.159545573293509,0.11832,0.0877016129032258
"47","2021-02",325369.361434393,4069,2227,"Beta",0.00684452890764593,25000,33728,3951831.58547195,0.082333812663106,0.08908,0.12064160341556
"48","2021-03",676044.195393894,8865,4628,"Beta",0.00684570628892615,25000,33728,3951831.58547195,0.171071104821173,0.18512,0.262837998102467
"49","2021-04",863813.914890019,7034,5913,"Beta",0.00684522429897745,25000,33728,3951831.58547195,0.218585710500833,0.23652,0.208550759013283
"50","2021-05",496748.179010103,4479,3400,"Beta",0.00684451427033988,25000,33728,3951831.58547195,0.125700746164459,0.136,0.132797675521822
"51","2021-06",386458.162967554,3085,2646,"Beta",0.00684679547116243,25000,33728,3951831.58547195,0.0977921641165791,0.10584,0.0914670303605313
"52","2021-07",439466.973904654,2632,2632,"Beta",0.00598907348284842,25000,33728,3951831.58547195,0.111205896405165,0.10528,0.0780360531309298
"53","2021-08",121031.114646384,526,526,"Beta",0.00434598988480616,25000,33728,3951831.58547195,0.0306265871985356,0.02104,0.0155953510436433
"54","2021-09",11531.6845558556,64,64,"Beta",0.00554992635204384,25000,33728,3951831.58547195,0.00291806072866296,0.00256,0.00189753320683112
"55","2021-11",506.71419974304,12,4,"Beta",0.0078939962646171,25000,33728,3951831.58547195,0.000128222620013936,0.00016,0.000355787476280835
"56","2021-12",364.048605832739,4,2,"Beta",0.00549377189736827,25000,33728,3951831.58547195,9.212148796297e-05,8e-05,0.000118595825426945
"57","2021-03",161680.10223254,1592,501,"Delta",0.00309871154880534,25000,3921060,111460424.76995,0.00145056061437269,0.02004,0.000406012659841981
"58","2021-04",4094535.89933966,11947,902,"Delta",0.00022029358691066,25000,3921060,111460424.76995,0.0367353337096159,0.03608,0.00304688018035939
"59","2021-05",9449490.4417235,42948,2081,"Delta",0.000220223514996269,25000,3921060,111460424.76995,0.0847788841754988,0.08324,0.0109531606249331
