"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"22","2021-11",477.228844034606,20,12,"Other",0.0251451691363606,25001,58001,922018.658450564,0.000517591308658092,0.000479980800767969,0.00034482164100619
"23","2021-12",8.55337324164057,3,0,"Other",0,25001,58001,922018.658450564,9.27678975175443e-06,0,5.17232461509284e-05
"24","2020-11",100.046753437243,2,2,"Alpha",0.0199906536822762,25001,42596,311587.339075174,0.000321087351412265,7.99968001279949e-05,4.6952765517889e-05
"25","2020-12",816.787438050919,17,17,"Alpha",0.0208132485981502,25001,42596,311587.339075174,0.00262137556832455,0.000679972801087956,0.000399098506902057
"26","2021-01",16914.1348868084,476,476,"Alpha",0.0281421428400243,25001,42596,311587.339075174,0.0542837681948549,0.0190392384304628,0.0111747581932576
"27","2021-02",24163.0841282594,3163,2017,"Alpha",0.0834744434648167,25001,42596,311587.339075174,0.0775483503276422,0.0806767729290828,0.0742557986665415
"28","2021-03",47400.6017035831,8559,3956,"Alpha",0.083458856171038,25001,42596,311587.339075174,0.1521262123303,0.158233670653174,0.200934360033806
"29","2021-04",98816.7457637771,12258,8247,"Alpha",0.0834575145766748,25001,42596,311587.339075174,0.317139797968288,0.329866805327787,0.287773499859142
"30","2021-05",98180.5897863057,11041,8194,"Alpha",0.0834584515924644,25001,42596,311587.339075174,0.315098136136458,0.327746890124395,0.259202742041506
"31","2021-06",19746.8809286759,5507,1648,"Alpha",0.0834562180200731,25001,42596,311587.339075174,0.0633751069195778,0.0659173633054678,0.129284439853507
"32","2021-07",3035.93315240559,959,253,"Alpha",0.0833351682330455,25001,42596,311587.339075174,0.00974344195568594,0.0101195952161914,0.0225138510658278
"33","2021-08",1333.66696087232,519,111,"Alpha",0.0832291743415444,25001,42596,311587.339075174,0.00428023476445093,0.00443982240710372,0.0121842426518922
"34","2021-09",764.077194826722,76,64,"Alpha",0.0837611702499693,25001,42596,311587.339075174,0.00245220873574192,0.00255989760409584,0.00178420508967978
"35","2021-10",83.2502480815687,10,7,"Alpha",0.0840838335177259,25001,42596,311587.339075174,0.000267181100261213,0.000279988800447982,0.000234763827589445
"36","2021-11",231.540130089881,9,9,"Alpha",0.0388701517810598,25001,42596,311587.339075174,0.000743098647002532,0.000359985600575977,0.000211287444830501
"37","2020-12",73.3759508134669,8,8,"Beta",0.10902754800871,1414,1414,18825.8051869405,0.00389762616179455,0.00565770862800566,0.00565770862800566
"38","2021-01",977.267976758912,66,66,"Beta",0.0675352120089799,1414,1414,18825.8051869405,0.0519110851862445,0.0466760961810467,0.0466760961810467
"39","2021-02",2500.08162717909,177,177,"Beta",0.0707976883937641,1414,1414,18825.8051869405,0.13280078075563,0.125176803394625,0.125176803394625
"40","2021-03",3535.14844379809,359,359,"Beta",0.101551605457987,1414,1414,18825.8051869405,0.1877820581215,0.253889674681754,0.253889674681754
"41","2021-04",7776.72455198568,544,544,"Beta",0.0699523297197272,1414,1414,18825.8051869405,0.413088549188876,0.384724186704385,0.384724186704385
"42","2021-05",3327.09444900926,169,169,"Beta",0.0507950713723576,1414,1414,18825.8051869405,0.176730525784749,0.11951909476662,0.11951909476662
"43","2021-06",488.990293087602,70,70,"Beta",0.143152125900093,1414,1414,18825.8051869405,0.0259744689925303,0.0495049504950495,0.0495049504950495
"44","2021-07",30.2190200331814,15,15,"Beta",0.496376122836861,1414,1414,18825.8051869405,0.00160519137073321,0.0106082036775106,0.0106082036775106
"45","2021-08",4.83785069707387,1,1,"Beta",0.206703361185752,1414,1414,18825.8051869405,0.000256979749287425,0.000707213578500707,0.000707213578500707
"46","2021-10",2.00968949725958,1,1,"Beta",0.497589304896903,1414,1414,18825.8051869405,0.000106751848184093,0.000707213578500707,0.000707213578500707
"47","2021-11",110.055334080894,4,4,"Beta",0.0363453533025476,1414,1414,18825.8051869405,0.00584598284047046,0.00282885431400283,0.00282885431400283
"48","2021-03",24.3849836968971,4,4,"Delta",0.16403537725182,25000,111191,490021.778447894,4.97630610911512e-05,0.00016,3.59741345972246e-05
"49","2021-04",3770.00669003845,335,335,"Delta",0.0888592587607804,25000,111191,490021.778447894,0.00769354925811594,0.0134,0.00301283377251756
"50","2021-05",17075.7439953241,1409,901,"Delta",0.0527649044309123,25000,111191,490021.778447894,0.0348469083341769,0.03604,0.0126718889118724
"51","2021-06",12589.5128552121,3319,664,"Delta",0.052742310813488,25000,111191,490021.778447894,0.025691741487671,0.02656,0.0298495381820471
"52","2021-07",11004.9362137183,6399,580,"Delta",0.0527036221506669,25000,111191,490021.778447894,0.0224580553308785,0.0232,0.05754962182191
"53","2021-08",58607.3537307344,29909,3091,"Delta",0.0527408218122471,25000,111191,490021.778447894,0.119601528561381,0.12364,0.268987597917098
"54","2021-09",120623.01735057,19283,6362,"Delta",0.052742835818059,25000,111191,490021.778447894,0.246158482450788,0.25448,0.17342230935957
"55","2021-10",96346.7315522863,16638,5081,"Delta",0.0527366099310032,25000,111191,490021.778447894,0.196617243946702,0.20324,0.149634412857156
"56","2021-11",72908.9386715055,21134,3845,"Delta",0.0527370178480285,25000,111191,490021.778447894,0.148787139425596,0.1538,0.190069340144436
"57","2021-12",68426.5793512094,12233,3609,"Delta",0.052742662781319,25000,111191,490021.778447894,0.139639873901003,0.14436,0.110017897131962
"58","2022-01",27971.5195670925,508,508,"Delta",0.0181613300908272,25000,111191,490021.778447894,0.0570821967458061,0.02032,0.00456871509384752
"59","2022-02",652.254811594286,19,19,"Delta",0.0291297199534012,25000,111191,490021.778447894,0.00133107310793461,0.00076,0.000170877139336817
"60","2022-03",20.7986749120654,1,1,"Delta",0.0480799860677613,25000,111191,490021.778447894,4.2444388855417e-05,4e-05,8.99353364930615e-06
"61","2020-12",1479.36775072685,15,15,"Epsilon",0.0101394666692106,752,752,5774.29511909737,0.256198846822727,0.0199468085106383,0.0199468085106383
"62","2021-01",1108.84328960851,66,66,"Epsilon",0.0595214856946125,752,752,5774.29511909737,0.192030934813363,0.0877659574468085,0.0877659574468085
"63","2021-02",627.62176794598,67,67,"Epsilon",0.106752192836254,752,752,5774.29511909737,0.108692360712607,0.0890957446808511,0.0890957446808511
"64","2021-03",658.246808824148,193,193,"Epsilon",0.293203092537225,752,752,5774.29511909737,0.113996045447543,0.256648936170213,0.256648936170213
