"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"436",2019-03-12,"2019","Mar","Mar 2019",598,818.969635176174,687.741935483871,839.04604079156,687.018401670863
"437",2019-03-13,"2019","Mar","Mar 2019",688,818.969635176174,687.741935483871,831.467204777382,686.477199386547
"438",2019-03-14,"2019","Mar","Mar 2019",677,818.969635176174,687.741935483871,824.743124083453,686.694621371066
"439",2019-03-15,"2019","Mar","Mar 2019",656,818.969635176174,687.741935483871,818.969635176174,687.741935483871
"440",2019-03-16,"2019","Mar","Mar 2019",714,818.969635176174,687.741935483871,814.220668758836,689.672888433414
"441",2019-03-17,"2019","Mar","Mar 2019",488,818.969635176174,687.741935483871,810.482532489744,692.471142324093
"442",2019-03-18,"2019","Mar","Mar 2019",716,818.969635176174,687.741935483871,807.719628265809,696.102838109289
"443",2019-03-19,"2019","Mar","Mar 2019",616,818.969635176174,687.741935483871,805.896357983829,700.534116742782
"444",2019-03-20,"2019","Mar","Mar 2019",652,818.969635176174,687.741935483871,804.977123541015,705.731119177216
"445",2019-03-21,"2019","Mar","Mar 2019",566,818.969635176174,687.741935483871,804.926326834089,711.659986366306
"446",2019-03-22,"2019","Mar","Mar 2019",853,818.969635176174,687.741935483871,805.708369759961,718.286859263433
"447",2019-03-23,"2019","Mar","Mar 2019",831,818.969635176174,687.741935483871,807.287654215543,725.577878821979
"448",2019-03-24,"2019","Mar","Mar 2019",563,818.969635176174,687.741935483871,809.628582097746,733.499185995322
"449",2019-03-25,"2019","Mar","Mar 2019",634,818.969635176174,687.741935483871,812.695555303763,742.016921737576
"450",2019-03-26,"2019","Mar","Mar 2019",731,818.969635176174,687.741935483871,816.452975729996,751.097227000705
"451",2019-03-27,"2019","Mar","Mar 2019",636,818.969635176174,687.741935483871,820.865245273579,760.706242738771
"452",2019-03-28,"2019","Mar","Mar 2019",651,818.969635176174,687.741935483871,825.896765831424,770.810109905157
"453",2019-03-29,"2019","Mar","Mar 2019",900,818.969635176174,687.741935483871,831.511939300442,781.374969453243
"454",2019-03-30,"2019","Mar","Mar 2019",944,818.969635176174,687.741935483871,837.675167577544,792.366962336409
"455",2019-03-31,"2019","Mar","Mar 2019",581,818.969635176174,687.741935483871,844.350852560215,803.752229508996
"456",2019-04-01,"2019","Apr","Apr 2019",768,981.774221792499,998.7,851.503396144256,815.496911922494
"457",2019-04-02,"2019","Apr","Apr 2019",888,981.774221792499,998.7,859.097200227111,827.567150531211
"458",2019-04-03,"2019","Apr","Apr 2019",972,981.774221792499,998.7,867.096666705691,839.92908628853
"459",2019-04-04,"2019","Apr","Apr 2019",1117,981.774221792499,998.7,875.466197476907,852.54886014783
"460",2019-04-05,"2019","Apr","Apr 2019",1313,981.774221792499,998.7,884.17019443767,865.392613062492
"461",2019-04-06,"2019","Apr","Apr 2019",1776,981.774221792499,998.7,893.17305948565,878.426485986987
"462",2019-04-07,"2019","Apr","Apr 2019",1106,981.774221792499,998.7,902.439194516262,891.616619872528
"463",2019-04-08,"2019","Apr","Apr 2019",1165,981.774221792499,998.7,911.93300142715,904.92915567357
"464",2019-04-09,"2019","Apr","Apr 2019",1366,981.774221792499,998.7,921.618882115227,918.330234343496
"465",2019-04-10,"2019","Apr","Apr 2019",1061,981.774221792499,998.7,931.461238477404,931.785996835685
"466",2019-04-11,"2019","Apr","Apr 2019",1018,981.774221792499,998.7,941.424472411421,945.262584104637
"467",2019-04-12,"2019","Apr","Apr 2019",1099,981.774221792499,998.7,951.472985812535,958.726137101492
"468",2019-04-13,"2019","Apr","Apr 2019",1454,981.774221792499,998.7,961.571180578479,972.142796780751
"469",2019-04-14,"2019","Apr","Apr 2019",653,981.774221792499,998.7,971.683458606163,985.478704095793
"470",2019-04-15,"2019","Apr","Apr 2019",851,981.774221792499,998.7,981.774221792499,998.7
"471",2019-04-16,"2019","Apr","Apr 2019",1246,981.774221792499,998.7,991.817949529053,1011.78291479598
"472",2019-04-17,"2019","Apr","Apr 2019",948,981.774221792499,998.7,1001.82943118684,1024.74403618433
"473",2019-04-18,"2019","Apr","Apr 2019",1234,981.774221792499,998.7,1011.83353362903,1037.61004121165
"474",2019-04-19,"2019","Apr","Apr 2019",984,981.774221792499,998.7,1021.8551237213,1050.40760692777
"475",2019-04-20,"2019","Apr","Apr 2019",844,981.774221792499,998.7,1031.9190683285,1063.16341038144
"476",2019-04-21,"2019","Apr","Apr 2019",553,981.774221792499,998.7,1042.05023431544,1075.90412862142
"477",2019-04-22,"2019","Apr","Apr 2019",589,981.774221792499,998.7,1052.27348854698,1088.65643869645
"478",2019-04-23,"2019","Apr","Apr 2019",901,981.774221792499,998.7,1062.61369788882,1101.44701765635
"479",2019-04-24,"2019","Apr","Apr 2019",706,981.774221792499,998.7,1073.09572920408,1114.30254254775
"480",2019-04-25,"2019","Apr","Apr 2019",795,981.774221792499,998.7,1083.74444935845,1127.24969042046
"481",2019-04-26,"2019","Apr","Apr 2019",879,981.774221792499,998.7,1094.58472521677,1140.31513832324
"482",2019-04-27,"2019","Apr","Apr 2019",955,981.774221792499,998.7,1105.64142364387,1153.52556330483
"483",2019-04-28,"2019","Apr","Apr 2019",913,981.774221792499,998.7,1116.93941150555,1166.90764241511
"484",2019-04-29,"2019","Apr","Apr 2019",766,981.774221792499,998.7,1128.50355566477,1180.48805270059
"485",2019-04-30,"2019","Apr","Apr 2019",1041,981.774221792499,998.7,1140.35872298729,1194.29347121115
"486",2019-05-01,"2019","May","May 2019",982,1370.01848051487,1446.51612903226,1152.52978033795,1208.35057499553
"487",2019-05-02,"2019","May","May 2019",1132,1370.01848051487,1446.51612903226,1165.0415945816,1222.68604110249
"488",2019-05-03,"2019","May","May 2019",1465,1370.01848051487,1446.51612903226,1177.91903258306,1237.32654658076
"489",2019-05-04,"2019","May","May 2019",1152,1370.01848051487,1446.51612903226,1191.1869612083,1252.29876848037
"490",2019-05-05,"2019","May","May 2019",1086,1370.01848051487,1446.51612903226,1204.87024731996,1267.62938384758
