"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"1018",2020-10-14,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,5.63947820824184,0.580109109215553
"1019",2020-10-15,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,5.55857346324382,0.580645161290322
"1020",2020-10-16,"2020","Oct","Oct 2020",1,5.55857346324382,0.580645161290323,5.47792957771905,0.577457196295566
"1021",2020-10-17,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,5.39784702836367,0.570790151162353
"1022",2020-10-18,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,5.31866806772261,0.561007975616582
"1023",2020-10-19,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,5.24073494834081,0.548474619384151
"1024",2020-10-20,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,5.16438992275694,0.533554032189626
"1025",2020-10-21,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,5.08997524352868,0.516610163761415
"1026",2020-10-22,"2020","Oct","Oct 2020",1,5.55857346324382,0.580645161290323,5.01783316319454,0.498006963824268
"1027",2020-10-23,"2020","Oct","Oct 2020",1,5.55857346324382,0.580645161290323,4.94830593429946,0.478108382104082
"1028",2020-10-24,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,4.88173580938838,0.457278368326756
"1029",2020-10-25,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,4.81846504100625,0.435880872218187
"1030",2020-10-26,"2020","Oct","Oct 2020",2,5.55857346324382,0.580645161290323,4.75883588169801,0.414279843504273
"1031",2020-10-27,"2020","Oct","Oct 2020",1,5.55857346324382,0.580645161290323,4.70319058400414,0.392839231909145
"1032",2020-10-28,"2020","Oct","Oct 2020",1,5.55857346324382,0.580645161290323,4.65187140047888,0.371922987162295
"1033",2020-10-29,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,4.60522058366236,0.351895058987825
"1034",2020-10-30,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,4.56358038609953,0.333119397111631
"1035",2020-10-31,"2020","Oct","Oct 2020",0,5.55857346324382,0.580645161290323,4.52729306033532,0.315959951259613
"1036",2020-11-01,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.49670085891469,0.300780671157668
"1037",2020-11-02,"2020","Nov","Nov 2020",1,4.85805952028333,0.5,4.47214603438256,0.287945506531693
"1038",2020-11-03,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.45397083928266,0.277818407106868
"1039",2020-11-04,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.44251752616296,0.270763322610801
"1040",2020-11-05,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.43812834756663,0.267144202768428
"1041",2020-11-06,"2020","Nov","Nov 2020",1,4.85805952028333,0.5,4.44114555603861,0.267324997305649
"1042",2020-11-07,"2020","Nov","Nov 2020",5,4.85805952028333,0.5,4.45191140412384,0.27166965594836
"1043",2020-11-08,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.47076814436727,0.28054212842246
"1044",2020-11-09,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.49805802931383,0.294306364453847
"1045",2020-11-10,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.53412331151184,0.31332631377023
"1046",2020-11-11,"2020","Nov","Nov 2020",2,4.85805952028333,0.5,4.57930624350027,0.337965926094367
"1047",2020-11-12,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.63394907782669,0.368589151153514
"1048",2020-11-13,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.69839406703605,0.40555993867357
"1049",2020-11-14,"2020","Nov","Nov 2020",1,4.85805952028333,0.5,4.77298346367328,0.449242238380433
"1050",2020-11-15,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.85805952028333,0.5
"1051",2020-11-16,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,4.95383554274713,0.558062575394809
"1052",2020-11-17,"2020","Nov","Nov 2020",1,4.85805952028333,0.5,5.06000905029885,0.623120924979646
"1053",2020-11-18,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,5.1761486154817,0.694731411289388
"1054",2020-11-19,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,5.30182281086499,0.772450396874896
"1055",2020-11-20,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,5.43660020900962,0.855834244281904
"1056",2020-11-21,"2020","Nov","Nov 2020",1,4.85805952028333,0.5,5.5800493824765,0.944439316056147
"1057",2020-11-22,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,5.73173890382654,1.03782197474336
"1058",2020-11-23,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,5.89123734562064,1.13553858288927
"1059",2020-11-24,"2020","Nov","Nov 2020",1,4.85805952028333,0.5,6.05811328043389,1.23714550304822
"1060",2020-11-25,"2020","Nov","Nov 2020",1,4.85805952028333,0.5,6.23193528079939,1.34219909774901
"1061",2020-11-26,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,6.41227191929163,1.45025572954566
"1062",2020-11-27,"2020","Nov","Nov 2020",0,4.85805952028333,0.5,6.59869176847152,1.56087176098391
