"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"118",2018-04-28,"2018","Apr","Apr 2018",186,205.803121740517,192.766666666667,260.583412453129,247.614881450925
"119",2018-04-29,"2018","Apr","Apr 2018",223,205.803121740517,192.766666666667,265.32233409625,252.573250197778
"120",2018-04-30,"2018","Apr","Apr 2018",222,205.803121740517,192.766666666667,270.102545273999,257.59235581592
"121",2018-05-01,"2018","May","May 2018",271,342.174801627393,334.064516129032,274.917302375393,262.663223528123
"122",2018-05-02,"2018","May","May 2018",341,342.174801627393,334.064516129032,279.759861789447,267.776878557161
"123",2018-05-03,"2018","May","May 2018",330,342.174801627393,334.064516129032,284.623479905179,272.924346125806
"124",2018-05-04,"2018","May","May 2018",304,342.174801627393,334.064516129032,289.501413112008,278.096651457262
"125",2018-05-05,"2018","May","May 2018",268,342.174801627393,334.064516129032,294.386917798142,283.284819773441
"126",2018-05-06,"2018","May","May 2018",285,342.174801627393,334.064516129032,299.273250353001,288.479876297545
"127",2018-05-07,"2018","May","May 2018",249,342.174801627393,334.064516129032,304.153667165601,293.672846252348
"128",2018-05-08,"2018","May","May 2018",279,342.174801627393,334.064516129032,309.021424624958,298.854754860621
"129",2018-05-09,"2018","May","May 2018",355,342.174801627393,334.064516129032,313.869779120088,304.016627345138
"130",2018-05-10,"2018","May","May 2018",319,342.174801627393,334.064516129032,318.691987040407,309.149488929095
"131",2018-05-11,"2018","May","May 2018",395,342.174801627393,334.064516129032,323.481304774129,314.244364834414
"132",2018-05-12,"2018","May","May 2018",270,342.174801627393,334.064516129032,328.230988710673,319.292280284295
"133",2018-05-13,"2018","May","May 2018",354,342.174801627393,334.064516129032,332.934295239054,324.284260501509
"134",2018-05-14,"2018","May","May 2018",352,342.174801627393,334.064516129032,337.584480748288,329.211330708831
"135",2018-05-15,"2018","May","May 2018",336,342.174801627393,334.064516129032,342.174801627393,334.064516129032
