"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"1533",2022-03-13,"2022","Mar","Mar 2022",13,14.9557657605874,16.1935483870968,14.6960576162765,15.7611624014779
"1534",2022-03-14,"2022","Mar","Mar 2022",14,14.9557657605874,16.1935483870968,14.8225633385576,15.9736389601048
"1535",2022-03-15,"2022","Mar","Mar 2022",20,14.9557657605874,16.1935483870968,14.9557657605874,16.1935483870968
"1536",2022-03-16,"2022","Mar","Mar 2022",13,14.9557657605874,16.1935483870968,15.0962353455339,16.420948536352
"1537",2022-03-17,"2022","Mar","Mar 2022",11,14.9557657605874,16.1935483870968,15.2436461609973,16.6552704946889
"1538",2022-03-18,"2022","Mar","Mar 2022",41,14.9557657605874,16.1935483870968,15.3974481756881,16.8957886571604
"1539",2022-03-19,"2022","Mar","Mar 2022",19,14.9557657605874,16.1935483870968,15.5570913583303,17.1417774188401
"1540",2022-03-20,"2022","Mar","Mar 2022",8,14.9557657605874,16.1935483870968,15.7220256776081,17.39251117474
"1541",2022-03-21,"2022","Mar","Mar 2022",19,14.9557657605874,16.1935483870968,15.8917011022449,17.6472643199333
"1542",2022-03-22,"2022","Mar","Mar 2022",8,14.9557657605874,16.1935483870968,16.0655676009515,17.9053112494729
"1543",2022-03-23,"2022","Mar","Mar 2022",14,14.9557657605874,16.1935483870968,16.2430751424384,18.1659263584118
"1544",2022-03-24,"2022","Mar","Mar 2022",14,14.9557657605874,16.1935483870968,16.4236736954163,18.4283840418029
"1545",2022-03-25,"2022","Mar","Mar 2022",21,14.9557657605874,16.1935483870968,16.6068132286108,18.691958694721
"1546",2022-03-26,"2022","Mar","Mar 2022",8,14.9557657605874,16.1935483870968,16.7919437107023,18.9559247121752
"1547",2022-03-27,"2022","Mar","Mar 2022",11,14.9557657605874,16.1935483870968,16.9785151104165,19.2195564892405
"1548",2022-03-28,"2022","Mar","Mar 2022",14,14.9557657605874,16.1935483870968,17.1659773964638,19.4821284209696
"1549",2022-03-29,"2022","Mar","Mar 2022",15,14.9557657605874,16.1935483870968,17.353780537555,19.7429149024156
