variant,boot,string
kappa,2," rate 9.36424e-05 [7.60769e-05; 9.88994e-05], tMRCA 2018-12-03 [2018-04-22; 2019-06-09], objective function 0.0564791"
kappa,3," rate 8.9876e-05 [7.11397e-05; 9.55637e-05], tMRCA 2019-01-26 [2017-11-25; 2019-06-30], objective function 0.0558861"
kappa,4," rate 0.000107684 [8.34614e-05; 0.000117353], tMRCA 2018-12-18 [2017-12-18; 2019-06-11], objective function 0.0561535"
kappa,5," rate 9.02196e-05 [6.95688e-05; 9.6009e-05], tMRCA 2018-12-24 [2017-10-08; 2019-06-10], objective function 0.0568781"
kappa,6," rate 8.98828e-05 [7.5375e-05; 9.52399e-05], tMRCA 2019-01-26 [2018-05-10; 2019-07-21], objective function 0.0574251"
kappa,7," rate 8.56865e-05 [7.02918e-05; 9.38274e-05], tMRCA 2018-12-12 [2017-06-30; 2019-07-28], objective function 0.0568231"
kappa,8," rate 8.95543e-05 [6.68061e-05; 9.53113e-05], tMRCA 2018-12-16 [2017-10-20; 2019-07-12], objective function 0.0566297"
kappa,9," rate 9.45791e-05 [6.83567e-05; 0.000101573], tMRCA 2019-02-17 [2018-04-02; 2019-07-18], objective function 0.0557052"
kappa,10," rate 9.16406e-05 [6.98102e-05; 9.82169e-05], tMRCA 2019-01-17 [2018-03-04; 2019-04-28], objective function 0.0582315"
mu,1," rate 0.000270247 [0.00025247; 0.000270247], tMRCA 2019-10-06 [2019-07-27; 2019-12-22], objective function 0.0732841"
mu,2," rate 0.000272353 [0.00025593; 0.00027285], tMRCA 2019-08-05 [2019-04-12; 2019-11-02], objective function 0.0740497"
mu,3," rate 0.000267701 [0.000249551; 0.000267701], tMRCA 2019-08-02 [2019-04-02; 2019-10-23], objective function 0.0744565"
mu,4," rate 0.000269912 [0.000253605; 0.000273063], tMRCA 2019-09-30 [2019-07-02; 2019-12-25], objective function 0.0734415"
mu,5," rate 0.00027532 [0.000258254; 0.000277547], tMRCA 2019-07-23 [2019-04-01; 2019-09-20], objective function 0.0740457"
mu,6," rate 0.000273267 [0.000253925; 0.000276947], tMRCA 2019-10-04 [2019-07-31; 2020], objective function 0.0739337"
mu,7," rate 0.000267618 [0.000253629; 0.000268676], tMRCA 2019-10-19 [2019-07-10; 2019-12-14], objective function 0.0736989"
mu,8," rate 0.000273573 [0.00025726; 0.000276595], tMRCA 2019-08-15 [2019-03-08; 2019-10-25], objective function 0.0738416"
mu,9," rate 0.000270796 [0.00025604; 0.000271494], tMRCA 2019-09-20 [2019-06-08; 2019-11-22], objective function 0.0736526"
mu,10," rate 0.000276376 [0.000255091; 0.000282188], tMRCA 2019-09-13 [2019-06-07; 2019-11-18], objective function 0.0739493"
zeta,1," rate 0.000208737 [0.000188808; 0.000216433], tMRCA 2019-08-10 [2019-05-26; 2019-12-07], objective function 0.0326308"
zeta,2," rate 0.000205997 [0.000187639; 0.000215484], tMRCA 2019-07-08 [2019-01-08; 2019-10-01], objective function 0.0326903"
zeta,3," rate 0.000204829 [0.000189358; 0.000215457], tMRCA 2019-07-24 [2019-03-08; 2019-10-16], objective function 0.0327485"
zeta,4," rate 0.000206725 [0.000183031; 0.000214328], tMRCA 2019-05-08 [2018-10-08; 2019-07-16], objective function 0.0330846"
zeta,5," rate 0.000205837 [0.000190328; 0.000213935], tMRCA 2019-07-19 [2019-04-13; 2019-10-09], objective function 0.0330545"
zeta,6," rate 0.000208097 [0.000183803; 0.000217471], tMRCA 2019-08-24 [2019-03-23; 2019-11-26], objective function 0.0330108"
zeta,7," rate 0.000209891 [0.000187877; 0.000218962], tMRCA 2019-08-30 [2019-02-15; 2019-11-18], objective function 0.0331332"
zeta,8," rate 0.000206019 [0.000186501; 0.000217541], tMRCA 2019-08-02 [2019-03-02; 2019-11-01], objective function 0.0330002"
zeta,9," rate 0.000207451 [0.000190254; 0.000214218], tMRCA 2019-07-19 [2019-01-05; 2019-10-21], objective function 0.0330653"
zeta,10," rate 0.000207025 [0.000184061; 0.000214449], tMRCA 2019-08-09 [2019-04-17; 2019-11-03], objective function 0.0332599"
other,1," rate 0.000229161 [0.00022203; 0.000229161], tMRCA 2019-11-09 [2019-07-09; 2019-11-09], objective function 0.343079"
other,2," rate 0.000229751 [0.000222937; 0.000230724], tMRCA 2019-11-13 [2019-09-21; 2019-11-13], objective function 0.345127"
other,3," rate 0.000237811 [0.00023136; 0.000238169], tMRCA 2019-11-20 [2019-10-15; 2019-11-20], objective function 0.338871"
other,4," rate 0.000233594 [0.000226218; 0.000234523], tMRCA 2019-11-09 [2019-09-16; 2019-11-09], objective function 0.346882"
other,5," rate 0.000221788 [0.000214907; 0.000223073], tMRCA 2019-10-31 [2019-07-24; 2019-10-31], objective function 0.347619"
other,6," rate 0.000227261 [0.000220884; 0.000229078], tMRCA 2019-11-08 [2019-09-07; 2019-11-08], objective function 0.345051"
other,7," rate 0.00023208 [0.000224541; 0.000232153], tMRCA 2019-11-11 [2019-09-04; 2019-11-11], objective function 0.342055"
other,8," rate 0.000225745 [0.000218245; 0.000228561], tMRCA 2019-11-10 [2019-09-27; 2019-11-15], objective function 0.338232"
other,9," rate 0.000227298 [0.000220417; 0.000230231], tMRCA 2019-11-06 [2019-09-13; 2019-11-06], objective function 0.341006"
other,10," rate 0.00022773 [0.00022126; 0.00022861], tMRCA 2019-11-07 [2019-08-31; 2019-11-07], objective function 0.341802"
ba.1,1," rate 0.000232498 [0.000214894; 0.000232498], tMRCA 2019-10-24 [2019-06-29; 2020], objective function 0.169976"
ba.1,2," rate 0.000237112 [0.000220527; 0.000237112], tMRCA 2019-07-23 [2019-03-28; 2019-10-24], objective function 0.171123"
ba.1,3," rate 0.000234235 [0.000215235; 0.000234235], tMRCA 2019-07-30 [2019-02-27; 2019-10-20], objective function 0.166139"
ba.1,4," rate 0.000237307 [0.000219533; 0.000237307], tMRCA 2019-06-30 [2019-02-23; 2019-09-10], objective function 0.164574"
ba.1,5," rate 0.000239277 [0.000222635; 0.000239277], tMRCA 2019-09-27 [2019-06-23; 2019-11-21], objective function 0.164685"
ba.1,6," rate 0.00023568 [0.000213759; 0.00023568], tMRCA 2019-08-11 [2019-03-05; 2019-10-12], objective function 0.167831"
ba.1,7," rate 0.000240102 [0.00022326; 0.000240102], tMRCA 2019-08-16 [2019-03-29; 2019-10-25], objective function 0.165932"
ba.1,8," rate 0.0002406 [0.000223359; 0.0002406], tMRCA 2019-08-20 [2019-04-12; 2019-10-07], objective function 0.170851"
ba.1,9," rate 0.00023382 [0.000215308; 0.00023382], tMRCA 2019-06-29 [2018-12-11; 2019-08-24], objective function 0.167724"
ba.1,10," rate 0.000232761 [0.000215647; 0.000232761], tMRCA 2019-08-04 [2019-02-21; 2019-10-10], objective function 0.164339"
ba.1.1,1," rate 0.000205195 [0.000189605; 0.000205195], tMRCA 2019-06-29 [2019-03-13; 2019-08-17], objective function 0.180699"
ba.1.1,2," rate 0.000206335 [0.000190106; 0.000206335], tMRCA 2019-06-25 [2019-01-22; 2019-08-25], objective function 0.175531"
ba.1.1,3," rate 0.000228744 [0.000210161; 0.000228744], tMRCA 2019-08-28 [2019-04-23; 2019-11-28], objective function 0.179417"
ba.1.1,4," rate 0.000186474 [0.000171456; 0.000186474], tMRCA 2019-06-06 [2018-12-14; 2019-09-23], objective function 0.181941"
ba.1.1,5," rate 0.000214938 [0.00019804; 0.000214938], tMRCA 2019-08-05 [2019-03-30; 2019-09-29], objective function 0.186277"
ba.1.1,6," rate 0.000214938 [0.00019804; 0.000214938], tMRCA 2019-08-05 [2019-03-30; 2019-09-29], objective function 0.186277"
ba.1.1,7," rate 0.000226143 [0.000206659; 0.000226143], tMRCA 2019-08-13 [2019-01-16; 2019-10-21], objective function 0.182401"
ba.1.1,8," rate 0.000221861 [0.000207147; 0.000221861], tMRCA 2019-06-20 [2018-11-26; 2019-08-31], objective function 0.184057"
ba.1.1,9," rate 0.000178197 [0.000164163; 0.000178197], tMRCA 2019-05-16 [2018-10-15; 2019-07-31], objective function 0.184351"
ba.1.1,10," rate 0.000217155 [0.000200172; 0.000217155], tMRCA 2019-08-27 [2019-04-11; 2019-11-01], objective function 0.187913"
ba.2,1," rate 0.000163246 [0.000143645; 0.000163246], tMRCA 2019-09-09 [2019-03-31; 2019-11-06], objective function 0.115893"
ba.2,2," rate 0.000172705 [0.000154262; 0.000173681], tMRCA 2019-06-05 [2018-10-31; 2019-09-01], objective function 0.118679"
ba.2,3," rate 0.000181505 [0.000162049; 0.000181505], tMRCA 2019-01-30 [2018-07-01; 2019-04-25], objective function 0.115099"
ba.2,4," rate 0.000156974 [0.000140909; 0.000159407], tMRCA 2019-05-09 [2018-07-22; 2019-09-19], objective function 0.112057"
ba.2,5," rate 0.000140883 [0.000122684; 0.000140883], tMRCA 2019-05-28 [2018-11-28; 2019-09-12], objective function 0.117351"
ba.2,6," rate 0.000140022 [0.000124289; 0.000140331], tMRCA 2019-03-02 [2018-05-31; 2019-06-16], objective function 0.115755"
ba.2,7," rate 0.000156692 [0.000139213; 0.000156692], tMRCA 2019-05-14 [2018-10-18; 2019-08-07], objective function 0.115464"
ba.2,8," rate 0.000152099 [0.000134115; 0.000152099], tMRCA 2019-03-20 [2018-09-14; 2019-05-27], objective function 0.119311"
ba.2,9," rate 0.000161143 [0.00014273; 0.000161143], tMRCA 2019-03-01 [2018-05-11; 2019-05-23], objective function 0.119457"
ba.2,10," rate 0.000150086 [0.000133648; 0.000150086], tMRCA 2019-05-21 [2018-09-20; 2019-08-21], objective function 0.116691"
